51.50853-0.12574	51.50853	0.12574	2001	1	6	12:00:00 AM	1.29	-4.88	1019.322	63.338	0.742	18.65	14.73	100.72
51.50853-0.12574	51.50853	0.12574	2001	1	6	3:00:00 AM	0.91	-5.22	1018.642	63.56	1.629	15.41	8.96	103.48
51.50853-0.12574	51.50853	0.12574	2001	1	6	6:00:00 AM	1.12	-4.56	1018.268	65.685	2.577	4.55	11.72	103.70
51.50853-0.12574	51.50853	0.12574	2001	1	6	9:00:00 AM	5.14	-2.35	1017.21	58.3	4.361	18.02	11.05	101.19
51.50853-0.12574	51.50853	0.12574	2001	1	6	12:00:00 PM	5.16	-1.95	1014.951	60	5.106	22.21	8.54	109.85
51.50853-0.12574	51.50853	0.12574	2001	1	6	3:00:00 PM	3.92	-2.21	1014.034	64.316	4.925	23.42	10.79	106.79
51.50853-0.12574	51.50853	0.12574	2001	1	6	6:00:00 PM	4.37	-1.37	1013.201	66.6	4.865	22.55	9.91	100.81
51.50853-0.12574	51.50853	0.12574	2001	1	6	9:00:00 PM	3.63	-0.12	1011.865	76.515	5.105	21.76	-1.84	105.43
51.50853-0.12574	51.50853	0.12574	2001	1	7	12:00:00 AM	3.83	0.22	1010.565	77.505	5.848	15.52	3.80	100.06
51.50853-0.12574	51.50853	0.12574	2001	1	7	3:00:00 AM	3.95	1.2	1009.616	82.183	5.284	22.45	12.08	102.61
51.50853-0.12574	51.50853	0.12574	2001	1	7	6:00:00 AM	3.78	1.47	1009.552	84.942	4.808	24.54	7.52	105.38
51.50853-0.12574	51.50853	0.12574	2001	1	7	9:00:00 AM	5.45	2.05	1009.5	78.471	3.841	14.76	2.68	108.74
51.50853-0.12574	51.50853	0.12574	2001	1	7	12:00:00 PM	5.33	2.78	1008.875	83.255	3.293	2.77	5.54	105.92
51.50853-0.12574	51.50853	0.12574	2001	1	7	3:00:00 PM	4.57	2.51	1009.862	86.9	2.737	17.70	1.07	104.97
51.50853-0.12574	51.50853	0.12574	2001	1	7	6:00:00 PM	4.67	2.51	1010.929	85.709	2.406	23.97	12.22	108.75
51.50853-0.12574	51.50853	0.12574	2001	1	7	9:00:00 PM	3.42	2.28	1011.846	91.856	1.259	19.64	3.91	101.53
51.50853-0.12574	51.50853	0.12574	2001	1	8	12:00:00 AM	3.1	2.44	1012.31	95	0.554	4.74	19.83	103.69
51.50853-0.12574	51.50853	0.12574	2001	1	8	3:00:00 AM	3.6	2.87	1013.204	94.726	0.922	23.23	15.18	106.38
51.50853-0.12574	51.50853	0.12574	2001	1	8	6:00:00 AM	3.81	2.98	1015.532	94.16	1.554	0.06	2.01	102.47
51.50853-0.12574	51.50853	0.12574	2001	1	8	9:00:00 AM	5.64	3.85	1017.294	88.2	2.993	13.70	18.63	103.97
51.50853-0.12574	51.50853	0.12574	2001	1	8	12:00:00 PM	6.8	3.16	1018.443	77.608	5.028	19.25	5.17	101.25
51.50853-0.12574	51.50853	0.12574	2001	1	8	3:00:00 PM	5.54	1.65	1021.301	76.082	5.202	6.40	7.60	108.74
51.50853-0.12574	51.50853	0.12574	2001	1	8	6:00:00 PM	3.57	-0.48	1024.011	74.985	5.247	22.28	0.27	100.74
51.50853-0.12574	51.50853	0.12574	2001	1	8	9:00:00 PM	2.42	-3.45	1025.592	65.545	4.137	14.61	14.38	106.71
51.50853-0.12574	51.50853	0.12574	2001	1	9	12:00:00 AM	1.87	-1.85	1025.825	76.103	4.133	7.82	5.36	103.36
51.50853-0.12574	51.50853	0.12574	2001	1	9	3:00:00 AM	1.13	-2.21	1026.066	78.323	3.444	22.65	17.00	105.02
51.50853-0.12574	51.50853	0.12574	2001	1	9	6:00:00 AM	1.12	-2.31	1026.051	77.571	2.298	2.10	7.79	102.68
51.50853-0.12574	51.50853	0.12574	2001	1	9	9:00:00 AM	4.18	-1.7	1024.327	65.469	2.555	14.98	14.83	108.59
51.50853-0.12574	51.50853	0.12574	2001	1	9	12:00:00 PM	4.63	-0.89	1020.087	67.178	3.613	17.48	2.78	101.42
51.50853-0.12574	51.50853	0.12574	2001	1	9	3:00:00 PM	4.16	-0.2	1015.88	73.288	4.253	3.54	6.63	101.28
51.50853-0.12574	51.50853	0.12574	2001	1	9	6:00:00 PM	5.14	1.21	1009.051	75.434	5.696	4.16	2.30	105.50
51.50853-0.12574	51.50853	0.12574	2001	1	9	9:00:00 PM	5.72	1.92	1000.806	76.75	9.831	3.51	14.44	102.17
51.50853-0.12574	51.50853	0.12574	2001	1	10	12:00:00 AM	3.72	-0.74	997.183	72.374	6.246	9.13	13.16	104.54
51.50853-0.12574	51.50853	0.12574	2001	1	10	3:00:00 AM	1.91	-1.2	996.211	79.6	4.244	10.09	5.33	108.11
51.50853-0.12574	51.50853	0.12574	2001	1	10	6:00:00 AM	1.28	-1.69	996.195	80.3	3.197	18.13	18.92	108.35
51.50853-0.12574	51.50853	0.12574	2001	1	10	9:00:00 AM	3.97	-0.94	995.625	70.3	3.9	20.54	15.53	108.71
51.50853-0.12574	51.50853	0.12574	2001	1	10	12:00:00 PM	4.35	-0.27	994.511	71.7	3.21	22.67	5.20	107.80
51.50853-0.12574	51.50853	0.12574	2001	1	10	3:00:00 PM	3.33	-0.15	994.488	77.7	2.995	18.66	15.84	103.63
51.50853-0.12574	51.50853	0.12574	2001	1	10	6:00:00 PM	2.32	-0.69	994.737	80.6	2.604	6.75	-1.14	106.90
